Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
AR-TF1,CO2,,2.33,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,FC,,2.33,SA-Gill Windmaster Pro,GA_CP-LI-COR LI-7200,,2-5
AR-TF1,FC_SSITC_TEST,,,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,H,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,H_SSITC_TEST,,,SA-Gill Windmaster Pro,,,2-5
AR-TF1,LE,,2.33,GA_CP-LI-COR LI-7200,SA-Gill Windmaster Pro,,2-5
AR-TF1,LE_SSITC_TEST,,,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,PA,,2.33,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,PPFD_IN,,2,RAD-PAR Quantum,,,2-5
AR-TF1,RH,,2,RH-Capac,,,2-5
AR-TF1,SW_IN,,2,RAD-Pyrrad-SW+LW,,,2-5
AR-TF1,TA,,2,RH-Capac,,,2-5
AR-TF1,USTAR,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,WD,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,WS,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF2,FC,,2.32,SA-Gill Windmaster Pro,GA_CP-LI-COR LI-7200,,1-5
AR-TF2,H,,2.32,SA-Gill Windmaster Pro,,,1-5
AR-TF2,LE,,2.32,GA_CP-LI-COR LI-7200,SA-Gill Windmaster Pro,,1-5
AR-TF2,PPFD_IN,,,RAD-PAR Quantum,,,1-5
AR-TF2,RH,,,RH-Capac,,,1-5
AR-TF2,SW_IN,,,RAD-Pyrrad-SW+LW,,,1-5
AR-TF2,TA,,,RH-Capac,,,1-5
AR-TF2,USTAR,,2.32,SA-Gill Windmaster Pro,,,1-5
AR-TF2,WD,,2.32,SA-Gill Windmaster Pro,,,1-5
AR-TF2,WS,,2.32,SA-Gill Windmaster Pro,,,1-5
BR-CST,APAR,,0,,,,1-5
BR-CST,CO2,,0,,,,1-5
BR-CST,FC,,0,,,,1-5
BR-CST,FETCH_90,,0,,,,1-5
BR-CST,GPP_PI,,0,,,,1-5
BR-CST,H,,0,,,,1-5
BR-CST,H2O,,0,,,,1-5
BR-CST,H_SSITC_TEST,,0,,,,1-5
BR-CST,LE,,0,,,,1-5
BR-CST,LE_SSITC_TEST,,0,,,,1-5
BR-CST,MO_LENGTH,,0,,,,1-5
BR-CST,NEE_PI,,0,,,,1-5
BR-CST,NETRAD,,0,,,,1-5
BR-CST,P,,0,,,,1-5
BR-CST,PA,,0,,,,1-5
BR-CST,RH,,0,,,,1-5
BR-CST,SC,,0,,,,1-5
BR-CST,SH,,0,,,,1-5
BR-CST,SLE,,0,,,,1-5
BR-CST,SWC,,0,,,,1-5
BR-CST,SW_IN,,0,,,,1-5
BR-CST,TA,,0,,,,1-5
BR-CST,TAU,,0,,,,1-5
BR-CST,TAU_SSITC_TEST,,0,,,,1-5
BR-CST,TS,,0,,,,1-5
BR-CST,T_SONIC,,0,,,,1-5
BR-CST,USTAR,,0,,,,1-5
BR-CST,VPD_PI,,0,,,,1-5
BR-CST,WD,,0,,,,1-5
BR-CST,WS,,0,,,,1-5
BR-CST,WS_MAX,,0,,,,1-5
BR-CST,ZL,,0,,,,1-5
BR-Npw,CH4,201401,20,GA_OP-LI-COR LI-7700,,,1-5
BR-Npw,CO2,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,FC,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,FC_PI_F,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,FCH4,201401,20,GA_OP-LI-COR LI-7700,SA-Young 81000,,1-5
BR-Npw,FCH4_PI_F,201401,20,GA_OP-LI-COR LI-7700,SA-Young 81000,,1-5
BR-Npw,H,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,H_PI_F,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,LE,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,LE_PI_F,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,LW_IN,201401,20,RAD-Other,,,1-5
BR-Npw,LW_OUT,201401,20,RAD-Other,,,1-5
BR-Npw,NETRAD,201401,20,RAD-Other,,,1-5
BR-Npw,P,201401,2,RAIN-Other,,,1-5
BR-Npw,PA,201401,20,RAIN-Other,,,1-5
BR-Npw,RH,201401,20,RH-Other,,,1-5
BR-Npw,SW_OUT,201401,20,RAD-Other,,,1-5
BR-Npw,T_SONIC,201401,20,SA-Young 81000,,,1-5
BR-Npw,USTAR,201401,20,SA-Young 81000,,,1-5
BR-Npw,WD,201401,20,SA-Young 81000,,,1-5
BR-Npw,WS,201401,20,SA-Young 81000,,,1-5
BR-Npw,WTD,201401,-1.5,WTD-Other,,,1-5
BR-Sa1,CO2_1_1_1,,62.24,,,,5-5
BR-Sa1,CO2_1_2_1,,50.05,,,,5-5
BR-Sa1,FC,,57.9,,,,5-5
BR-Sa1,H,,57.9,,,,5-5
BR-Sa1,H2O_1_2_1,,57.9,,,,5-5
BR-Sa1,LE,,57.9,,,,5-5
BR-Sa1,NETRAD,,66.8,,,,5-5
BR-Sa1,PPFD_IN,,66.8,,,,5-5
BR-Sa1,TA_1_2_1,,57.8,,,,5-5
BR-Sa1,USTAR,,57.9,,,,5-5
BR-Sa1,WD,,57.9,,,,5-5
BR-Sa1,WS,,57.9,,,,5-5
BR-Sa3,CO2,,64,GA-Other,,Li-Cor LI7000,3-5
BR-Sa3,FC,,64,,,,3-5
BR-Sa3,G,,-0.1,SOIL_H-Other,,REBS HFT 3.1,3-5
BR-Sa3,H,,64,,,,3-5
BR-Sa3,H2O,,64,GA-Other,,Li-Cor LI7500,3-5
BR-Sa3,LE,,64,GA-Other,,Li-Cor LI7500,3-5
BR-Sa3,LW_IN,,64,RAD-Other,,Kipp&Zonen CG2,3-5
BR-Sa3,LW_OUT,,64,RAD-Other,,Kipp&Zonen CG2,3-5
BR-Sa3,NETRAD,,64,RAD-Other,,Rebs Q*7,3-5
BR-Sa3,P,,64,PREC-Other,,Texas Electronics TE525,3-5
BR-Sa3,PA,,64,PRES-Other,,Li-Cor LI7500,3-5
BR-Sa3,PPFD_IN,,64,RAD-Other,,Li-Cor LI190,3-5
BR-Sa3,PPFD_OUT,,64,RAD-Other,,Li-Cor LI190,3-5
