Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
AR-Bal,CO2,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,CO2_SIGMA,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,FC,201301,5,GA_OP-LI-COR LI-7500A,SA-Young 81000,,2-5
AR-Bal,FC_SSITC_TEST,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,G_1_1_1,201301,-0.1,SOIL_H-Plate,,,2-5
AR-Bal,G_2_1_1,201301,-0.1,SOIL_H-Plate,,,2-5
AR-Bal,H,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,H2O,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,H2O_SIGMA,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,H_SSITC_TEST,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,LE,201301,5,GA_OP-LI-COR LI-7500A,SA-Young 81000,,2-5
AR-Bal,LE_SSITC_TEST,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,MO_LENGTH,201301,5,SA-Young 81000,,,2-5
AR-Bal,NEE_PI,201301,5,GA_OP-LI-COR LI-7500A,SA-Young 81000,,2-5
AR-Bal,P,201301,1.5,PREC-TipBucGauge,,Please complete,2-5
AR-Bal,PA,201301,5,GA_OP-LI-COR LI-7500A,,,2-5
AR-Bal,PPFD_IN,201301,1.5,RAD-PAR Quantum,,,2-5
AR-Bal,RH_1_1_1,201301,5.95,RH-Capac,,,2-5
AR-Bal,RH_1_2_1,201301,3.55,RH-Capac,,,2-5
AR-Bal,RH_1_3_1,201301,2.63,RH-Capac,,,2-5
AR-Bal,RH_1_4_1,201301,2,RH-Capac,,,2-5
AR-Bal,RH_1_5_1,201301,1.35,RH-Capac,,,2-5
AR-Bal,SW_IN,201301,1.5,RAD-SW Pyran SecSt,,,2-5
AR-Bal,TA_1_1_1,201301,5.95,TEMP-ElectResis,,,2-5
AR-Bal,TA_1_2_1,201301,3.55,TEMP-ElectResis,,,2-5
AR-Bal,TA_1_3_1,201301,2.63,TEMP-ElectResis,,,2-5
AR-Bal,TA_1_4_1,201301,2,TEMP-ElectResis,,,2-5
