SITE_ID,LAT,LON,texture_code,soil_texture,porosity,clay_fraction,sand_fraction,silt_fraction
AR-SLu,-33.4648,-66.4598,3.0,sandy loam,0.41200000047683700,0.17000000178813900,0.5799999833107000,0.25
AR-Vir,-28.2395,-56.1886,12.0,clay,0.44999998807907100,0.5600000023841860,0.1599999964237210,0.2800000011920930
AT-Neu,47.11667,11.3175,3.0,sandy loam,0.4189999997615810,0.15444444119930300,0.5611110925674440,0.28333333134651200
AU-ASM,-22.2830,133.2490,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6188889145851140,0.226666659116745
AU-Ade,-13.0769,131.1178,6.0,loam,0.44699999690055800,0.1599999964237210,0.49000000953674300,0.3400000035762790
AU-Cpr,-34.0021,140.5891,6.0,loam,0.43700000643730200,0.28999999165535000,0.4044444262981420,0.30000001192092900
AU-Cum,-33.61518,150.72362,6.0,loam,0.43700000643730200,0.18222221732139600,0.48444443941116300,0.3288888931274410
AU-DaP,-14.0633,131.3181,7.0,sandy clay loam,0.43700000643730200,0.20000000298023200,0.5299999713897710,0.27000001072883600
AU-DaS,-14.1593,131.3881,7.0,sandy clay loam,0.43700000643730200,0.20000000298023200,0.5299999713897710,0.27000001072883600
AU-Dry,-15.2588,132.3706,7.0,sandy clay loam,0.43700000643730200,0.23444443941116300,0.4866666793823240,0.27888888120651200
AU-Emr,-23.8587,148.4746,9.0,clay loam,0.44999998807907100,0.42555558681488000,0.29222220182418800,0.2822222113609310
AU-Fog,-12.5452,131.3072,12.0,clay,0.44999998807907100,0.38777777552604700,0.33000001311302200,0.27666667103767400
AU-GWW,-30.1913,120.6541,7.0,sandy clay loam,0.43700000643730200,0.22333334386348700,0.4466666877269750,0.3266666829586030
AU-Gin,-31.3764,115.7138,3.0,sandy loam,0.4189999997615810,0.0949999988079071,0.7450000047683720,0.1599999964237210
AU-How,-12.4943,131.1523,7.0,sandy clay loam,0.41200000047683700,0.2199999988079070,0.5666666626930240,0.2133333384990690
AU-Lox,-34.4704,140.6551,6.0,loam,0.43700000643730200,0.28999999165535000,0.4044444262981420,0.30000001192092900
AU-RDF,-14.5636,132.4776,3.0,sandy loam,0.4189999997615810,0.17333334684371900,0.596666693687439,0.23000000417232500
AU-Rig,-36.6499,145.5759,6.0,loam,0.44699999690055800,0.20888888835907000,0.49222221970558200,0.2988888919353490
AU-Rob,-17.1175,145.6301,7.0,sandy clay loam,0.44699999690055800,0.26555556058883700,0.4633333086967470,0.2755555510520940
AU-Stp,-17.1507,133.3502,9.0,clay loam,0.44999998807907100,0.3266666829586030,0.38333332538604700,0.28999999165535000
AU-TTE,-22.2870,133.6400,3.0,sandy loam,0.4189999997615810,0.12999999523162800,0.6899999976158140,0.1899999976158140
AU-Tum,-35.6566,148.1517,7.0,sandy clay loam,0.41200000047683700,0.23000000417232500,0.5899999737739560,0.17000000178813900
AU-Wac,-37.4259,145.1878,9.0,clay loam,0.44699999690055800,0.24888889491558100,0.43888890743255600,0.3077777922153470
AU-Whr,-36.6732,145.0294,7.0,sandy clay loam,0.41200000047683700,0.21285715699195900,0.5442857146263120,0.2428571581840520
AU-Wom,-37.4222,144.0944,6.0,loam,0.44699999690055800,0.23777778446674300,0.4588888883590700,0.3033333420753480
AU-Ync,-34.9893,146.2907,7.0,sandy clay loam,0.41200000047683700,0.226666659116745,0.5366666913032530,0.23666666448116300
BE-Bra,51.30761,4.51984,2.0,loamy sand,0.38600000739097600,0.07999999821186070,0.8100000023841860,0.11999999731779100
BE-Lon,50.55162,4.74623,3.0,sandy loam,0.4189999997615810,0.15000000596046400,0.5588889122009280,0.2911111116409300
BE-Vie,50.30493,5.99812,6.0,loam,0.41200000047683700,0.20000000298023200,0.4911110997200010,0.30888888239860500
BR-Sa1,-2.85667,-54.9588900,9.0,clay loam,0.44999998807907100,0.33222222328186000,0.4266666769981380,0.24111109972000100
BR-Sa3,-3.01803,-54.9714400,9.0,clay loam,0.44999998807907100,0.3700000047683720,0.4000000059604650,0.23000000417232500
CA-Gro,48.2167,-82.1556,3.0,sandy loam,0.4189999997615810,0.10000000149011600,0.6899999976158140,0.20999999344348900
CA-Man,55.8796200,-98.4808100,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS1,55.8791700,-98.4838900,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS2,55.9058300,-98.5247200,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS3,55.9116700,-98.3822200,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS4,55.914370,-98.380645,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS5,55.8630600,-98.4850,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS6,55.9166700,-98.9644400,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-NS7,56.6358300,-99.9483300,12.0,clay,0.4779999852180480,0.4699999988079070,0.2199999988079070,0.3199999928474430
CA-Oas,53.6288900,-106.1977900,6.0,loam,0.44699999690055800,0.1899999976158140,0.4000000059604650,0.4099999964237210
CA-Obs,53.9871700,-105.1177900,3.0,sandy loam,0.4189999997615810,0.11999999731779100,0.6333333253860470,0.24666665494442000
CA-Qfo,49.6925,-74.3420600,3.0,sandy loam,0.4189999997615810,0.10000000149011600,0.6811111569404600,0.21888889372348800
CA-SF1,54.4850300,-105.8175700,6.0,loam,0.44699999690055800,0.17428570985794100,0.44857144355773900,0.37714287638664200
CA-SF2,54.2539200,-105.8775000,6.0,loam,0.44699999690055800,0.17428570985794100,0.44857144355773900,0.37714287638664200
CA-SF3,54.0915600,-106.0052600,6.0,loam,0.44699999690055800,0.1899999976158140,0.4000000059604650,0.4099999964237210
CA-TP1,42.66093611,-80.55951944,3.0,sandy loam,0.41200000047683700,0.12999999523162800,0.6100000143051150,0.25999999046325700
CA-TP2,42.77441944,-80.458775,3.0,sandy loam,0.41200000047683700,0.12999999523162800,0.6100000143051150,0.25999999046325700
CA-TP3,42.70681111,-80.34831389,4.0,silt loam,,,,
CA-TP4,42.710161,-80.357376,4.0,silt loam,,,,
CA-TPD,42.635328,-80.557731,3.0,sandy loam,0.41200000047683700,0.12999999523162800,0.6100000143051150,0.25999999046325700
CG-Tch,-4.28917,11.65642,3.0,sandy loam,0.4189999997615810,0.10999999940395400,0.75,0.14000000059604600
CH-Cha,47.21022,8.41044,6.0,loam,0.41200000047683700,0.20444445312023200,0.48222219944000200,0.31333333253860500
CH-Dav,46.81533,9.85591,7.0,sandy clay loam,0.41200000047683700,0.23666666448116300,0.5299999713897710,0.23444443941116300
CH-Fru,47.11583,8.53778,6.0,loam,0.41200000047683700,0.19374999403953600,0.5024999976158140,0.30375000834465000
CH-Lae,47.47833,8.36439,6.0,loam,0.43700000643730200,0.2199999988079070,0.41999998688697800,0.36000001430511500
CH-Oe1,47.28583,7.73194,9.0,clay loam,0.44699999690055800,0.27222222089767500,0.3655555844306950,0.3611111044883730
CH-Oe2,47.28642,7.73375,9.0,clay loam,0.44699999690055800,0.27222222089767500,0.3655555844306950,0.3611111044883730
CN-Cha,42.4025,128.0958,6.0,loam,0.44699999690055800,0.2199999988079070,0.41555556654930100,0.3744444251060490
CN-Cng,44.5934,123.5092,9.0,clay loam,0.44699999690055800,0.2951110899448400,0.3866666853427890,0.3182222247123720
CN-Dan,30.4978,91.0664,6.0,loam,0.44699999690055800,0.2199999988079070,0.44999998807907100,0.33000001311302200
CN-Din,23.1733,112.5361,9.0,clay loam,0.44699999690055800,0.30000001192092900,0.38777777552604700,0.3122222125530240
CN-Du2,42.0467,116.2836,6.0,loam,0.43700000643730200,0.2244444489479070,0.4566666781902310,0.3233333230018620
CN-Du3,42.0551,116.2809,6.0,loam,0.43700000643730200,0.2244444489479070,0.4566666781902310,0.3233333230018620
